Protein names,Gene names,Majority protein IDs,Entry name,C: Gene ontology (biological process),C: Gene ontology (cellular component),C: Gene ontology (molecular function),C: Gene ontology (GO),Length,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS count,27.5,55,110,220,440,1100
50S ribosomal protein L14,rplN rpl14 sll1806,P73310,RL14_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],large ribosomal subunit rRNA binding [GO:0070180];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];large ribosomal subunit rRNA binding [GO:0070180];structural constituent of ribosome [GO:0003735];translation [GO:0006412],122,12,12,12,81.1,13.294,0,323.31,37987000000,338,32.72322,35.24312,39.19588,37.26892,43.65508,43.9938
30S ribosomal protein S17,rpsQ rps17 ssl3437,P73311,RS17_SYNY3,translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic small ribosomal subunit [GO:0022627];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],81,7,7,7,56.8,9.2887,0,213.7,23961000000,177,35.89858,41.06814,43.35774,41.48418,43.36272,49.19494
50S ribosomal protein L29,rpmC rpl29 ssl3436,P73312,RL29_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];structural constituent of ribosome [GO:0003735];translation [GO:0006412],73,8,8,8,74,8.5455,0,243.84,9810700000,245,12.13801,11.39439,13.47574,13.47737,14.955826,18.05582
50S ribosomal protein L16,rplP rpl16 sll1805,P73313,RL16_SYNY3,translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];tRNA binding [GO:0000049],cytosolic large ribosomal subunit [GO:0022625];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412];tRNA binding [GO:0000049],139,8,8,8,60.4,16.035,0,302.62,13467000000,240,24.2787,27.71408,30.41258,30.2114,35.08272,38.74024
30S ribosomal protein S3,rpsC rps3 sll1804,P73314,RS3_SYNY3,cytoplasmic translation [GO:0002181],cytosolic small ribosomal subunit [GO:0022627],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytoplasmic translation [GO:0002181];cytosolic small ribosomal subunit [GO:0022627];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],240,22,22,22,72.5,27.147,0,323.31,42758000000,489,19.2805,21.22678,24.78638,24.4055,23.36098,25.78454
50S ribosomal protein L22,rplV rpl22 sll1803,P73315,RL22_SYNY3,translation [GO:0006412],large ribosomal subunit [GO:0015934],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],large ribosomal subunit [GO:0015934];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],121,12,12,12,80.2,13.502,0,282.61,17640000000,206,24.86138,27.88962,29.94628,29.85012,31.5531,38.78956
30S ribosomal protein S19,rpsS rps19 ssl3432,P73316,RS19_SYNY3,ribosomal small subunit assembly [GO:0000028];translation [GO:0006412],cytosolic small ribosomal subunit [GO:0022627],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic small ribosomal subunit [GO:0022627];ribosomal small subunit assembly [GO:0000028];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],92,5,5,5,48.9,10.29,0,132.57,15341000000,106,21.93582,25.53984,26.75966,27.06378,30.39518,31.28284
50S ribosomal protein L2,rplB rpl2 sll1802,P73317,RL2_SYNY3,cytoplasmic translation [GO:0002181],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];transferase activity [GO:0016740],cytoplasmic translation [GO:0002181];cytosolic large ribosomal subunit [GO:0022625];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];transferase activity [GO:0016740],276,18,18,18,63.4,30.433,0,323.31,41695000000,458,17.28416,20.55486,25.66238,25.85852,25.29256,26.83804
50S ribosomal protein L23,rplW rpl23 sll1801,P73318,RL23_SYNY3,ribosomal large subunit assembly [GO:0000027];translation [GO:0006412],cytosolic large ribosomal subunit [GO:0022625],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic large ribosomal subunit [GO:0022625];ribosomal large subunit assembly [GO:0000027];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],101,10,10,10,73.3,11.526,0,104.58,20859000000,307,23.18552,26.57456,31.32226,32.82748,32.0849,29.3615
50S ribosomal protein L4,rplD rpl4 sll1800,P73319,RL4_SYNY3,translation [GO:0006412],cytosolic ribosome [GO:0022626],RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],cytosolic ribosome [GO:0022626];RNA binding [GO:0003723];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],210,17,17,17,65.7,23.356,0,323.31,38524000000,506,19.05726,23.30682,28.9346,27.2724,30.62832,30.44184
50S ribosomal protein L3,rplC rpl3 sll1799,P73320,RL3_SYNY3,translation [GO:0006412],ribosome [GO:0005840],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],213,18,18,18,82.6,22.741,0,323.31,51583000000,399,32.6198,37.26832,41.02802,38.65292,44.13158,49.19484
Uncharacterized protein slr1894,slr1894,P73321,Y1894_SYNY3,cellular iron ion homeostasis [GO:0006879];response to stress [GO:0006950],cell [GO:0005623],"ferric iron binding [GO:0008199];oxidoreductase activity, oxidizing metal ions [GO:0016722]","cell [GO:0005623];cellular iron ion homeostasis [GO:0006879];ferric iron binding [GO:0008199];oxidoreductase activity, oxidizing metal ions [GO:0016722];response to stress [GO:0006950]",156,13,13,13,73.1,17.755,0,323.31,21592000000,325,22.60696,19.94404,18.45276,19.7367,19.1583,19.1958
SrrA,srrA,P73325,P73325_SYNY3,,,,,433,7,7,7,26.1,47.606,0,34.109,450660000,85,0.194318,0.1596074,0.1453962,0.1768922,0.1647922,0.12476604
Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK),argB slr1898,P73326,ARGB_SYNY3,arginine biosynthetic process [GO:0006526],cytoplasm [GO:0005737],acetylglutamate kinase activity [GO:0003991];arginine binding [GO:0034618];ATP binding [GO:0005524],acetylglutamate kinase activity [GO:0003991];arginine binding [GO:0034618];arginine biosynthetic process [GO:0006526];ATP binding [GO:0005524];cytoplasm [GO:0005737],297,9,9,9,32.3,31.525,0,90.361,2269700000,160,1.0114076,0.970688,0.8485006,0.8766676,0.9176484,0.81014
Slr1900 protein,slr1900,P73328,P73328_SYNY3,,,,,247,9,9,9,47,27.406,0,249.99,1504900000,103,0.8555654,0.6853124,0.7957902,1.0211786,0.9077598,0.9683352
ABC transporter,slr1901,P73329,P73329_SYNY3,,,ATP binding [GO:0005524];ATPase activity [GO:0016887],ATP binding [GO:0005524];ATPase activity [GO:0016887],326,4,4,4,17.5,36.62,0,7.3327,215020000,50,0.1219003,0.08534046,0.08334756,0.0856094,0.0878614,0.07776378
DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta'),rpoC2 sll1789,P73334,RPOC2_SYNY3,"transcription, DNA-templated [GO:0006351]",DNA-directed RNA polymerase complex [GO:0000428],DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899],"DNA binding [GO:0003677];DNA-directed 5'-3' RNA polymerase activity [GO:0003899];DNA-directed RNA polymerase complex [GO:0000428];transcription, DNA-templated [GO:0006351]",1317,102,102,102,68.7,144.78,0,323.31,81059000000,2049,6.036458,7.221174,8.342002,8.36241,9.018584,10.237652
D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA deacylase),dtd3 sll1786,P73335,DTD3_SYNY3,DNA catabolic process [GO:0006308],,"D-aminoacyl-tRNA deacylase activity [GO:0051499];deoxyribonuclease activity [GO:0004536];endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888];metal ion binding [GO:0046872]","D-aminoacyl-tRNA deacylase activity [GO:0051499];deoxyribonuclease activity [GO:0004536];DNA catabolic process [GO:0006308];endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888];metal ion binding [GO:0046872]",261,5,5,5,22.2,29.258,0,81.635,831280000,84,0.6201022,0.5386752,0.414085,0.4698268,0.3908564,0.4103656
30S ribosomal protein S20,rpsT rps20 ssl2233,P73336,RS20_SYNY3,translation [GO:0006412],ribosome [GO:0005840],rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735],ribosome [GO:0005840];rRNA binding [GO:0019843];structural constituent of ribosome [GO:0003735];translation [GO:0006412],97,5,5,5,47.4,10.702,0,184.81,11256000000,80,23.8329,27.30038,25.30852,27.58458,31.4484,27.72878
Chromosome partition protein Smc,smc sll1120,P73340,SMC_SYNY3,chromosome condensation [GO:0030261];sister chromatid cohesion [GO:0007062],chromosome [GO:0005694];cytoplasm [GO:0005737],ATP binding [GO:0005524];DNA binding [GO:0003677],ATP binding [GO:0005524];chromosome [GO:0005694];chromosome condensation [GO:0030261];cytoplasm [GO:0005737];DNA binding [GO:0003677];sister chromatid cohesion [GO:0007062],1200,8,8,8,9.2,136.13,0,12.813,121830000,26,0.012497423,0.013645655,0.0199265,0.01910482,0.016693624,0.015662268
Slr1194 protein,slr1194,P73342,P73342_SYNY3,,,,,222,4,4,4,32.9,25.17,0,123.46,965210000,116,0.6234852,0.5554884,0.5629524,0.6068554,0.5387626,0.4169132
Slr1196 protein,slr1196,P73344,P73344_SYNY3,,outer membrane-bounded periplasmic space [GO:0030288],,outer membrane-bounded periplasmic space [GO:0030288],429,9,9,9,33.3,48.001,0,57.31,419970000,83,0.08779034,0.10837616,0.1696824,0.19740586,0.14274504,0.12109384
UPF0145 protein sll118,sll1118,P73346,Y1118_SYNY3,,,,,108,4,4,4,31.5,11.45,0,70.304,639000000,46,0.775769,0.6512924,0.7126556,0.7238636,0.5940448,0.6236664
Rehydrin,slr1198,P73348,P73348_SYNY3,cell redox homeostasis [GO:0045454],cell [GO:0005623],identical protein binding [GO:0042802];peroxiredoxin activity [GO:0051920],cell [GO:0005623];cell redox homeostasis [GO:0045454];identical protein binding [GO:0042802];peroxiredoxin activity [GO:0051920],211,16,16,16,67.3,23.559,0,323.31,1.17E+11,483,103.81626,98.91342,95.35636,92.32016,99.15936,91.11092
Slr1201 protein,slr1201,P73351,P73351_SYNY3,,integral component of membrane [GO:0016021];plasma membrane [GO:0005886],transmembrane transporter activity [GO:0022857],integral component of membrane [GO:0016021];plasma membrane [GO:0005886];transmembrane transporter activity [GO:0022857],410,4,4,4,13.7,45.084,0,51.237,742510000,75,0.7084782,0.6459822,0.8819502,0.9390024,0.892061,0.5721802
Ferredoxin component,slr1205,P73355,P73355_SYNY3,,,"2 iron, 2 sulfur cluster binding [GO:0051537];oxidoreductase activity [GO:0016491]","2 iron, 2 sulfur cluster binding [GO:0051537];oxidoreductase activity [GO:0016491]",164,6,6,6,52.4,17.559,0,26.235,961570000,37,0.832061,1.0086426,0.6331276,0.8506314,0.7439726,0.662139
Slr1207 protein,slr1207,P73357,P73357_SYNY3,,,,,514,7,7,7,24.5,55.776,0,24.291,183930000,25,0.05847758,0.03732626,0.034227814,0.054778842,0.0607532,0.084719438
Short-chain alcohol dehydrogenase family,slr1208,P73359,P73359_SYNY3,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],657,13,13,13,27.1,71.553,0,153.66,1421500000,112,0.3013162,0.2637694,0.2448476,0.2661992,0.2840566,0.2745324
3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase),aroQ sll1112,P73367,AROQ_SYNY3,aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423],,3-dehydroquinate dehydratase activity [GO:0003855],3-dehydroquinate dehydratase activity [GO:0003855];aromatic amino acid family biosynthetic process [GO:0009073];chorismate biosynthetic process [GO:0009423],152,2,2,2,17.8,16.374,0,8.5843,229870000,19,0.4004356,0.3708872,0.3335156,0.3396638,0.3148554,0.2819864
Magnesium transporter MgtE,mgtE,P73368,P73368_SYNY3,,integral component of membrane [GO:0016021];plasma membrane [GO:0005886],magnesium ion transmembrane transporter activity [GO:0015095];metal ion binding [GO:0046872],integral component of membrane [GO:0016021];magnesium ion transmembrane transporter activity [GO:0015095];metal ion binding [GO:0046872];plasma membrane [GO:0005886],463,11,11,11,26.3,51.1,0,124.65,1311300000,156,0.5265182,0.4830794,0.440571,0.4283126,0.4724802,0.4370694
Slr2070 protein,slr2070,P73370,P73370_SYNY3,,,,,284,8,8,8,38.7,31.874,0,268.07,4285900000,179,3.402872,2.958792,2.53061,2.76226,2.55841,2.115838
Uncharacterized RNA methyltransferase sll1967 (EC 2.1.1.-),sll1967,P73374,Y1967_SYNY3,RNA processing [GO:0006396],,"4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];RNA binding [GO:0003723];RNA methyltransferase activity [GO:0008173]","4 iron, 4 sulfur cluster binding [GO:0051539];metal ion binding [GO:0046872];RNA binding [GO:0003723];RNA methyltransferase activity [GO:0008173];RNA processing [GO:0006396]",463,8,8,8,19.9,51.522,0,28.138,1192900000,95,0.4532158,0.4402692,0.445041,0.4401946,0.3824662,0.3604762
L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase),ilvA,P73375,P73375_SYNY3,isoleucine biosynthetic process [GO:0009097],,L-threonine ammonia-lyase activity [GO:0004794];pyridoxal phosphate binding [GO:0030170],isoleucine biosynthetic process [GO:0009097];L-threonine ammonia-lyase activity [GO:0004794];pyridoxal phosphate binding [GO:0030170],508,20,20,20,46.3,56.545,0,323.31,3627900000,300,1.047053,0.9609342,0.8958248,0.8977564,1.0306294,0.9402338
Cell division protein SepF,sepF slr2073,P73376,SEPF_SYNY3,cell septum assembly [GO:0090529],cytoplasm [GO:0005737],,cell septum assembly [GO:0090529];cytoplasm [GO:0005737],186,7,7,7,50,20.533,0,323.31,1838400000,145,1.622622,2.260038,2.374484,2.3108332,2.457528,2.073496
Sll1739 protein,sll1739,P73385,P73385_SYNY3,,,,,359,4,4,4,15,41.229,0,9.64,396460000,54,0.1748016,0.1707992,0.157879,0.1517574,0.1483142,0.1283022
Poly(3-hydroxyalkanoate) polymerase subunit PhaE (PHA polymerase) (PHB synthase subunit PhaE) (Poly(3-hydroxybutyrate) polymerase subunit PhaE) (PHB polymerase) (Poly(hydroxyalkanoic acid) synthase subunit PhaE) (PHA synthase) (Polyhydroxyalkanoic acid synthase subunit PhaE),phaE slr1829,P73389,PHAE_SYNY3,poly-hydroxybutyrate biosynthetic process [GO:0042619],cytoplasm [GO:0005737],,cytoplasm [GO:0005737];poly-hydroxybutyrate biosynthetic process [GO:0042619],330,7,7,7,30.3,38.047,0,39.091,384670000,22,0.1226069,0.13276658,0.1607272,0.13661362,0.14825282,0.2068844
Poly(3-hydroxyalkanoate) polymerase subunit PhaC (PHA polymerase) (EC 2.3.1.-) (PHB synthase subunit PhaC) (Poly(3-hydroxybutyrate) polymerase subunit PhaC) (PHB polymerase) (Poly(hydroxyalkanoic acid) synthase subunit PhaC) (PHA synthase) (Polyhydroxyalkanoic acid synthase subunit PhaC),phaC phbC slr1830,P73390,PHAC_SYNY3,poly-hydroxybutyrate biosynthetic process [GO:0042619],cytoplasm [GO:0005737],"transferase activity, transferring acyl groups [GO:0016746]","cytoplasm [GO:0005737];poly-hydroxybutyrate biosynthetic process [GO:0042619];transferase activity, transferring acyl groups [GO:0016746]",378,6,6,6,25.4,42.96,0,18.416,264450000,19,0.12555786,0.12938972,0.09743102,0.08285206,0.10373072,0.1108722
Uncharacterized protein sll1735,sll1735,P73392,Y1735_SYNY3,,extracellular space [GO:0005615],,extracellular space [GO:0005615],133,2,2,2,30.8,14.105,0,208.43,448030000,55,0.399267,0.4482956,0.6097142,0.5493102,0.5446204,0.5358746
Sll1734 protein,sll1734,P73393,P73393_SYNY3,,,,,431,6,6,6,13.7,50.038,0,81.907,609140000,84,0.06496518,0.15212354,0.15676644,0.19940718,0.28852086,0.20003754
OmpR subfamily,slr1837,P73404,P73404_SYNY3,"phosphorelay signal transduction system [GO:0000160];regulation of transcription, DNA-templated [GO:0006355];transcription, DNA-templated [GO:0006351]",intracellular [GO:0005622],DNA binding [GO:0003677],"DNA binding [GO:0003677];intracellular [GO:0005622];phosphorelay signal transduction system [GO:0000160];regulation of transcription, DNA-templated [GO:0006355];transcription, DNA-templated [GO:0006351]",234,2,2,2,15.8,25.655,0,9.7329,90327000,9,0.044932067,0.054525625,0.0796261,0.0918574,0.05774364,0.0670264
Pyruvate dehydrogenase E1 beta subunit,pdhB,P73405,P73405_SYNY3,metabolic process [GO:0008152],,catalytic activity [GO:0003824],catalytic activity [GO:0003824];metabolic process [GO:0008152],324,18,18,18,54.9,35.709,0,323.31,10330000000,305,3.432394,3.762264,3.757446,4.12899,3.878572,3.41631
Carbon dioxide-concentrating mechanism protein CcmK homolog 3,ccmK3 slr1838,P73406,CCMK3_SYNY3,,,,,103,2,2,2,18.4,11.003,0,44.07,526660000,30,0.7696294,0.881753,1.1098598,1.0776474,0.9492552,0.7969704
Carbon dioxide-concentrating mechanism protein CcmK homolog 4,ccmK4 slr1839,P73407,CCMK4_SYNY3,,,,,112,5,5,5,65.2,11.903,0,232.53,4354100000,99,3.551828,3.149258,4.238806,4.349364,4.393604,3.483292
Uncharacterized protein slr1840,slr1840,P73408,Y1840_SYNY3,organic acid phosphorylation [GO:0031388],,glycerate kinase activity [GO:0008887],glycerate kinase activity [GO:0008887];organic acid phosphorylation [GO:0031388],371,2,2,2,3.8,39.231,0,8.891,36185000,6,0.0204867,0.0263465,0.0185767,0.0211837,0.02584202,0.02948026
Slr1841 protein,slr1841,P73409,P73409_SYNY3,carbohydrate transport [GO:0008643],integral component of membrane [GO:0016021],porin activity [GO:0015288],carbohydrate transport [GO:0008643];integral component of membrane [GO:0016021];porin activity [GO:0015288],630,22,13,13,45.9,67.6,0,323.31,6776400000,411,3.427076,2.61247,2.670464,3.045422,3.399434,2.261288
Cysteine synthase (CSase) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase) (OAS-TL) (O-acetylserine sulfhydrylase),cysK slr1842,P73410,CYSK_SYNY3,cysteine biosynthetic process from serine [GO:0006535],cytoplasm [GO:0005737],cysteine synthase activity [GO:0004124];L-cysteine desulfhydrase activity [GO:0080146];pyridoxal phosphate binding [GO:0030170];transferase activity [GO:0016740],cysteine biosynthetic process from serine [GO:0006535];cysteine synthase activity [GO:0004124];cytoplasm [GO:0005737];L-cysteine desulfhydrase activity [GO:0080146];pyridoxal phosphate binding [GO:0030170];transferase activity [GO:0016740],312,18,18,18,58,33.173,0,167.63,3369500000,256,1.98488,1.917992,1.901836,2.276976,2.08766,1.880552
Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49),zwf slr1843,P73411,G6PD_SYNY3,glucose metabolic process [GO:0006006];pentose-phosphate shunt [GO:0006098],,glucose-6-phosphate dehydrogenase activity [GO:0004345];NADP binding [GO:0050661],glucose metabolic process [GO:0006006];glucose-6-phosphate dehydrogenase activity [GO:0004345];NADP binding [GO:0050661];pentose-phosphate shunt [GO:0006098],509,25,25,25,54.4,57.885,0,323.31,10544000000,559,3.669694,2.996704,2.447,2.574834,2.660592,2.67044
